IP Source,IP Destination,Source Port,Destination Port,Protocol,Label
137.34.180.57,228.149.255.223,55451,36885,TCP,C&C-FileDownload
236.21.234.45,64.238.233.64,35415,17778,TCP,Benign
25.91.152.247,187.90.140.102,11158,41033,UDP,C&C-FileDownload
254.234.106.239,16.18.234.58,3511,18627,UDP,PartOfAHorizontalPortScan-Attack
182.8.28.142,103.175.117.137,42412,61974,TCP,No Attack
232.209.8.202,160.243.142.108,20314,5805,TCP,DDoS
203.88.32.126,23.152.179.113,63628,11645,ICMP,C&C-PartOfAHorizontalPortScan-Attack
218.37.207.127,229.230.199.131,16715,51200,UDP,Okiru
84.23.229.53,155.150.72.234,49730,11926,ICMP,No Attack
89.200.126.44,11.198.94.160,41208,39383,TCP,C&C-PartOfAHorizontalPortScan-Attack
189.125.7.241,18.104.106.173,17206,26802,TCP,C&C-PartOfAHorizontalPortScan-Attack
187.210.53.233,153.18.218.93,47961,13993,TCP,C&C-HeartBeat-Attack
63.184.171.227,67.152.158.41,40766,6034,UDP,Okiru
120.133.121.88,146.41.56.32,1506,26672,TCP,Benign
247.0.151.123,119.253.114.233,58772,35284,UDP,C&C-HeartBeat-Attack
164.20.94.28,135.93.89.171,6374,33792,TCP,No Attack
234.12.30.161,111.137.224.95,52420,19480,TCP,Okiru-Attack
229.165.125.186,107.206.216.191,53186,23857,TCP,No Attack
47.135.194.170,203.201.7.72,32510,61539,TCP,FileDownload
203.98.221.20,21.128.211.130,58923,35428,TCP,C&C-HeartBeat-Attack
18.61.205.185,78.163.223.67,25129,25559,TCP,No Attack
151.3.14.191,22.125.230.131,2830,62541,TCP,No Attack
224.139.231.32,161.241.176.174,16088,5349,ICMP,C&C-FileDownload
199.200.1.136,148.127.71.29,8880,26831,TCP,Benign
181.187.13.205,204.228.86.48,29470,55886,TCP,Okiru
120.27.205.222,209.203.74.49,28200,22936,TCP,DDoS
211.50.126.242,199.191.106.180,29035,19973,TCP,No Attack
2.183.40.229,194.167.166.129,39859,3377,TCP,FileDownload
102.78.204.126,111.202.210.6,50187,36152,TCP,C&C-HeartBeat
231.78.196.133,161.207.86.88,6897,37164,TCP,Benign
110.211.251.106,205.243.214.90,7750,25451,TCP,Benign
73.215.213.143,175.10.166.197,59751,11525,TCP,PartOfAHorizontalPortScan
194.232.222.242,103.12.198.86,60225,30367,TCP,C&C-Tori
226.58.11.207,119.158.205.93,36904,30959,TCP,Benign
160.142.51.187,30.219.101.70,51871,21853,TCP,Okiru
227.230.114.154,117.90.248.246,24892,51761,TCP,Okiru-Attack
56.121.156.79,223.21.192.76,40673,52462,TCP,Benign
185.211.143.103,163.39.71.255,33533,23088,UDP,No Attack
8.218.155.236,17.130.136.52,13237,25456,ICMP,DDoS
